dataset,original_decision,n_eligible_models,n_panels,pct_pass_ge3,pct_pass_ge4,pct_pass_eq5
REG_TEXT_FOOD_RAMEN_RATINGS_2022,reject,10,252,0.0,0.0,0.0
REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES,reject,10,252,8.3,0.0,0.0
REG_TEXT_FOOD_WINE_VIVINO_SPAIN,reject,10,252,50.0,10.3,0.4
REG_TEXT_FOOD_ZOMATO_RESTAURANTS,accept,10,252,100.0,100.0,50.0
REG_TEXT_HOUSES_AIRBNB_SEATTLE,reject,10,252,0.0,0.0,0.0
REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020,reject,10,252,8.3,0.0,0.0
REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS,reject,10,252,8.3,0.0,0.0
REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,reject,10,252,0.0,0.0,0.0
REG_TEXT_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,accept,10,252,100.0,100.0,100.0
REG_TEXT_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,accept,10,252,73.8,26.2,2.4
REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,reject,10,252,8.3,0.0,0.0
REG_TEXT_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,accept,10,252,100.0,100.0,100.0
REG_TEXT_SOCIAL_ANIME_PLANET_RATING,reject,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_BOOKS_GOODREADS,reject,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_BOOK_READABILITY_CLEAR,accept,10,252,100.0,100.0,50.0
REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY,reject,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_KOREAN_DRAMA,reject,10,252,8.3,0.0,0.0
REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE,reject,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_MOVIES_ROTTEN_TOMATOES,accept,10,252,100.0,100.0,50.0
REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES,reject,10,252,8.3,0.0,0.0
REG_TEXT_SOCIAL_VIDEO_GAMES_SALES,accept,10,252,100.0,77.8,22.2
REG_TEXT_SPORTS_FIFA22_WAGES,reject,10,252,50.0,10.3,0.4
REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,reject,10,252,0.0,0.0,0.0
REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,reject,10,252,8.3,0.0,0.0
REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN,reject,10,252,8.3,0.0,0.0
REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,reject,10,252,26.2,2.4,0.0
