panel,n_curation_models,n_accepted,jaccard_vs_baseline
LightGBM+TabPFNv2+TabICLv2+RealMLP+XGBoost,2,25,0.92
LightGBM+TabPFNv2+TabICLv2+RealMLP+RandomForest,2,26,0.885
LightGBM+TabPFNv2+TabICLv2+XGBoost+RandomForest,2,25,0.846
LightGBM+TabPFNv2+RealMLP+XGBoost+RandomForest,2,26,0.815
LightGBM+TabPFN-2.5+TabDPT+TabICLv2+RealMLP,2,24,0.741
LightGBM+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,23,0.769
LightGBM+TabPFN-2.5+TabDPT+TabICLv2+RandomForest,2,22,0.731
LightGBM+TabPFN-2.5+TabDPT+RealMLP+XGBoost,2,25,0.778
LightGBM+TabPFN-2.5+TabDPT+RealMLP+RandomForest,2,24,0.808
LightGBM+TabPFN-2.5+TabDPT+XGBoost+RandomForest,2,24,0.679
LightGBM+TabPFN-2.5+TabICLv2+RealMLP+XGBoost,2,22,0.8
LightGBM+TabPFN-2.5+TabICLv2+RealMLP+RandomForest,2,23,0.84
LightGBM+TabPFN-2.5+TabICLv2+XGBoost+RandomForest,2,24,0.741
LightGBM+TabPFN-2.5+RealMLP+XGBoost+RandomForest,2,26,0.815
LightGBM+TabDPT+TabICLv2+RealMLP+XGBoost,1,25,0.714
LightGBM+TabDPT+TabICLv2+RealMLP+RandomForest,1,24,0.741
LightGBM+TabDPT+TabICLv2+XGBoost+RandomForest,1,25,0.655
LightGBM+TabDPT+RealMLP+XGBoost+RandomForest,1,26,0.69
LightGBM+TabICLv2+RealMLP+XGBoost+RandomForest,1,26,0.75
CatBoost+TabM+TabPFNv2+TabPFN-2.5+TabDPT,4,24,0.88
CatBoost+TabM+TabPFNv2+TabPFN-2.5+TabICLv2,4,22,0.875
CatBoost+TabM+TabPFNv2+TabPFN-2.5+RealMLP,4,24,0.958
CatBoost+TabM+TabPFNv2+TabPFN-2.5+XGBoost,4,25,0.846
CatBoost+TabM+TabPFNv2+TabPFN-2.5+RandomForest,4,24,0.958
CatBoost+TabM+TabPFNv2+TabDPT+TabICLv2,3,27,0.786
CatBoost+TabM+TabPFNv2+TabDPT+RealMLP,3,28,0.821
CatBoost+TabM+TabPFNv2+TabDPT+XGBoost,3,27,0.786
CatBoost+TabM+TabPFNv2+TabDPT+RandomForest,3,27,0.786
CatBoost+TabM+TabPFNv2+TabICLv2+RealMLP,3,25,0.92
CatBoost+TabM+TabPFNv2+TabICLv2+XGBoost,3,26,0.75
CatBoost+TabM+TabPFNv2+TabICLv2+RandomForest,3,25,0.92
CatBoost+TabM+TabPFNv2+RealMLP+XGBoost,3,26,0.885
CatBoost+TabM+TabPFNv2+RealMLP+RandomForest,3,26,0.885
CatBoost+TabM+TabPFNv2+XGBoost+RandomForest,3,26,0.885
CatBoost+TabM+TabPFN-2.5+TabDPT+TabICLv2,3,23,0.917
CatBoost+TabM+TabPFN-2.5+TabDPT+RealMLP,3,25,0.778
CatBoost+TabM+TabPFN-2.5+TabDPT+XGBoost,3,26,0.75
CatBoost+TabM+TabPFN-2.5+TabDPT+RandomForest,3,25,0.714
CatBoost+TabM+TabPFN-2.5+TabICLv2+RealMLP,3,22,0.875
CatBoost+TabM+TabPFN-2.5+TabICLv2+XGBoost,3,23,0.84
CatBoost+TabM+TabPFN-2.5+TabICLv2+RandomForest,3,23,0.917
CatBoost+TabM+TabPFN-2.5+RealMLP+XGBoost,3,23,0.84
CatBoost+TabM+TabPFN-2.5+RealMLP+RandomForest,3,25,0.846
CatBoost+TabM+TabPFN-2.5+XGBoost+RandomForest,3,24,0.808
CatBoost+TabM+TabDPT+TabICLv2+RealMLP,2,26,0.815
CatBoost+TabM+TabDPT+TabICLv2+XGBoost,2,26,0.69
CatBoost+TabM+TabDPT+TabICLv2+RandomForest,2,24,0.741
CatBoost+TabM+TabDPT+RealMLP+XGBoost,2,27,0.724
CatBoost+TabM+TabDPT+RealMLP+RandomForest,2,27,0.724
CatBoost+TabM+TabDPT+XGBoost+RandomForest,2,26,0.633
CatBoost+TabM+TabICLv2+RealMLP+XGBoost,2,23,0.84
CatBoost+TabM+TabICLv2+RealMLP+RandomForest,2,26,0.885
CatBoost+TabM+TabICLv2+XGBoost+RandomForest,2,22,0.8
CatBoost+TabM+RealMLP+XGBoost+RandomForest,2,25,0.846
CatBoost+TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2,3,23,0.84
CatBoost+TabPFNv2+TabPFN-2.5+TabDPT+RealMLP,3,22,0.957
CatBoost+TabPFNv2+TabPFN-2.5+TabDPT+XGBoost,3,24,0.808
CatBoost+TabPFNv2+TabPFN-2.5+TabDPT+RandomForest,3,23,0.84
CatBoost+TabPFNv2+TabPFN-2.5+TabICLv2+RealMLP,3,21,0.913
CatBoost+TabPFNv2+TabPFN-2.5+TabICLv2+XGBoost,3,22,0.875
CatBoost+TabPFNv2+TabPFN-2.5+TabICLv2+RandomForest,3,22,0.957
CatBoost+TabPFNv2+TabPFN-2.5+RealMLP+XGBoost,3,23,0.917
CatBoost+TabPFNv2+TabPFN-2.5+RealMLP+RandomForest,3,22,0.957
CatBoost+TabPFNv2+TabPFN-2.5+XGBoost+RandomForest,3,24,0.88
CatBoost+TabPFNv2+TabDPT+TabICLv2+RealMLP,2,25,0.92
CatBoost+TabPFNv2+TabDPT+TabICLv2+XGBoost,2,25,0.778
CatBoost+TabPFNv2+TabDPT+TabICLv2+RandomForest,2,24,0.808
CatBoost+TabPFNv2+TabDPT+RealMLP+XGBoost,2,25,0.846
CatBoost+TabPFNv2+TabDPT+RealMLP+RandomForest,2,23,0.84
CatBoost+TabPFNv2+TabDPT+XGBoost+RandomForest,2,25,0.714
CatBoost+TabPFNv2+TabICLv2+RealMLP+XGBoost,2,25,0.92
CatBoost+TabPFNv2+TabICLv2+RealMLP+RandomForest,2,23,1.0
CatBoost+TabPFNv2+TabICLv2+XGBoost+RandomForest,2,24,0.88
CatBoost+TabPFNv2+RealMLP+XGBoost+RandomForest,2,24,0.88
CatBoost+TabPFN-2.5+TabDPT+TabICLv2+RealMLP,2,20,0.87
CatBoost+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,23,0.769
CatBoost+TabPFN-2.5+TabDPT+TabICLv2+RandomForest,2,21,0.76
CatBoost+TabPFN-2.5+TabDPT+RealMLP+XGBoost,2,23,0.84
CatBoost+TabPFN-2.5+TabDPT+RealMLP+RandomForest,2,24,0.808
CatBoost+TabPFN-2.5+TabDPT+XGBoost+RandomForest,2,22,0.731
CatBoost+TabPFN-2.5+TabICLv2+RealMLP+XGBoost,2,21,0.833
CatBoost+TabPFN-2.5+TabICLv2+RealMLP+RandomForest,2,21,0.913
CatBoost+TabPFN-2.5+TabICLv2+XGBoost+RandomForest,2,22,0.8
CatBoost+TabPFN-2.5+RealMLP+XGBoost+RandomForest,2,25,0.846
CatBoost+TabDPT+TabICLv2+RealMLP+XGBoost,1,23,0.769
CatBoost+TabDPT+TabICLv2+RealMLP+RandomForest,1,22,0.8
CatBoost+TabDPT+TabICLv2+XGBoost+RandomForest,1,24,0.679
CatBoost+TabDPT+RealMLP+XGBoost+RandomForest,1,25,0.714
CatBoost+TabICLv2+RealMLP+XGBoost+RandomForest,1,23,0.84
TabM+TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2,3,25,0.778
TabM+TabPFNv2+TabPFN-2.5+TabDPT+RealMLP,3,24,0.808
TabM+TabPFNv2+TabPFN-2.5+TabDPT+XGBoost,3,24,0.808
TabM+TabPFNv2+TabPFN-2.5+TabDPT+RandomForest,3,24,0.808
TabM+TabPFNv2+TabPFN-2.5+TabICLv2+RealMLP,3,21,0.833
TabM+TabPFNv2+TabPFN-2.5+TabICLv2+XGBoost,3,23,0.769
TabM+TabPFNv2+TabPFN-2.5+TabICLv2+RandomForest,3,22,0.875
TabM+TabPFNv2+TabPFN-2.5+RealMLP+XGBoost,3,23,0.84
TabM+TabPFNv2+TabPFN-2.5+RealMLP+RandomForest,3,23,0.917
TabM+TabPFNv2+TabPFN-2.5+XGBoost+RandomForest,3,24,0.808
TabM+TabPFNv2+TabDPT+TabICLv2+RealMLP,2,28,0.759
TabM+TabPFNv2+TabDPT+TabICLv2+XGBoost,2,25,0.714
TabM+TabPFNv2+TabDPT+TabICLv2+RandomForest,2,26,0.75
TabM+TabPFNv2+TabDPT+RealMLP+XGBoost,2,26,0.75
TabM+TabPFNv2+TabDPT+RealMLP+RandomForest,2,25,0.846
TabM+TabPFNv2+TabDPT+XGBoost+RandomForest,2,25,0.714
TabM+TabPFNv2+TabICLv2+RealMLP+XGBoost,2,25,0.778
TabM+TabPFNv2+TabICLv2+RealMLP+RandomForest,2,25,0.92
TabM+TabPFNv2+TabICLv2+XGBoost+RandomForest,2,24,0.741
TabM+TabPFNv2+RealMLP+XGBoost+RandomForest,2,26,0.815
TabM+TabPFN-2.5+TabDPT+TabICLv2+RealMLP,2,22,0.8
TabM+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,23,0.704
TabM+TabPFN-2.5+TabDPT+TabICLv2+RandomForest,2,22,0.8
TabM+TabPFN-2.5+TabDPT+RealMLP+XGBoost,2,26,0.75
TabM+TabPFN-2.5+TabDPT+RealMLP+RandomForest,2,24,0.808
TabM+TabPFN-2.5+TabDPT+XGBoost+RandomForest,2,24,0.741
TabM+TabPFN-2.5+TabICLv2+RealMLP+XGBoost,2,20,0.792
TabM+TabPFN-2.5+TabICLv2+RealMLP+RandomForest,2,21,0.833
TabM+TabPFN-2.5+TabICLv2+XGBoost+RandomForest,2,21,0.76
TabM+TabPFN-2.5+RealMLP+XGBoost+RandomForest,2,25,0.778
TabM+TabDPT+TabICLv2+RealMLP+XGBoost,1,25,0.655
TabM+TabDPT+TabICLv2+RealMLP+RandomForest,1,22,0.8
TabM+TabDPT+TabICLv2+XGBoost+RandomForest,1,25,0.655
TabM+TabDPT+RealMLP+XGBoost+RandomForest,1,26,0.69
TabM+TabICLv2+RealMLP+XGBoost+RandomForest,1,22,0.731
TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2+RealMLP,2,21,0.76
TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,24,0.679
TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2+RandomForest,2,22,0.731
TabPFNv2+TabPFN-2.5+TabDPT+RealMLP+XGBoost,2,24,0.808
TabPFNv2+TabPFN-2.5+TabDPT+RealMLP+RandomForest,2,24,0.88
TabPFNv2+TabPFN-2.5+TabDPT+XGBoost+RandomForest,2,23,0.769
TabPFNv2+TabPFN-2.5+TabICLv2+RealMLP+XGBoost,2,20,0.792
TabPFNv2+TabPFN-2.5+TabICLv2+RealMLP+RandomForest,2,20,0.87
TabPFNv2+TabPFN-2.5+TabICLv2+XGBoost+RandomForest,2,21,0.76
TabPFNv2+TabPFN-2.5+RealMLP+XGBoost+RandomForest,2,23,0.917
TabPFNv2+TabDPT+TabICLv2+RealMLP+XGBoost,1,24,0.741
TabPFNv2+TabDPT+TabICLv2+RealMLP+RandomForest,1,24,0.808
TabPFNv2+TabDPT+TabICLv2+XGBoost+RandomForest,1,25,0.714
TabPFNv2+TabDPT+RealMLP+XGBoost+RandomForest,1,25,0.778
TabPFNv2+TabICLv2+RealMLP+XGBoost+RandomForest,1,22,0.875
TabPFN-2.5+TabDPT+TabICLv2+RealMLP+XGBoost,1,22,0.731
TabPFN-2.5+TabDPT+TabICLv2+RealMLP+RandomForest,1,21,0.76
TabPFN-2.5+TabDPT+TabICLv2+XGBoost+RandomForest,1,23,0.769
TabPFN-2.5+TabDPT+RealMLP+XGBoost+RandomForest,1,22,0.8
TabPFN-2.5+TabICLv2+RealMLP+XGBoost+RandomForest,1,20,0.792
TabDPT+TabICLv2+RealMLP+XGBoost+RandomForest,0,24,0.741
