panel,n_curation_models,n_accepted,jaccard_vs_baseline
CatBoost+RandomForest+RealMLP+TabDPT+TabICLv2,1,22,0.8
CatBoost+RandomForest+RealMLP+TabDPT+XGBoost,1,25,0.714
CatBoost+RandomForest+RealMLP+TabICLv2+XGBoost,1,23,0.84
CatBoost+RandomForest+TabDPT+TabICLv2+XGBoost,1,24,0.679
CatBoost+RealMLP+TabDPT+TabICLv2+XGBoost,1,23,0.769
TabM+TabPFNv2+TabPFN-2.5+RandomForest+RealMLP,3,23,0.917
TabM+TabPFNv2+TabPFN-2.5+RandomForest+TabDPT,3,24,0.808
TabM+TabPFNv2+TabPFN-2.5+RandomForest+TabICLv2,3,22,0.875
TabM+TabPFNv2+TabPFN-2.5+RandomForest+XGBoost,3,24,0.808
TabM+TabPFNv2+TabPFN-2.5+RealMLP+TabDPT,3,24,0.808
TabM+TabPFNv2+TabPFN-2.5+RealMLP+TabICLv2,3,21,0.833
TabM+TabPFNv2+TabPFN-2.5+RealMLP+XGBoost,3,23,0.84
TabM+TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2,3,25,0.778
TabM+TabPFNv2+TabPFN-2.5+TabDPT+XGBoost,3,24,0.808
TabM+TabPFNv2+TabPFN-2.5+TabICLv2+XGBoost,3,23,0.769
TabM+TabPFNv2+RandomForest+RealMLP+TabDPT,2,25,0.846
TabM+TabPFNv2+RandomForest+RealMLP+TabICLv2,2,25,0.92
TabM+TabPFNv2+RandomForest+RealMLP+XGBoost,2,26,0.815
TabM+TabPFNv2+RandomForest+TabDPT+TabICLv2,2,26,0.75
TabM+TabPFNv2+RandomForest+TabDPT+XGBoost,2,25,0.714
TabM+TabPFNv2+RandomForest+TabICLv2+XGBoost,2,24,0.741
TabM+TabPFNv2+RealMLP+TabDPT+TabICLv2,2,28,0.759
TabM+TabPFNv2+RealMLP+TabDPT+XGBoost,2,26,0.75
TabM+TabPFNv2+RealMLP+TabICLv2+XGBoost,2,25,0.778
TabM+TabPFNv2+TabDPT+TabICLv2+XGBoost,2,25,0.714
TabM+TabPFN-2.5+RandomForest+RealMLP+TabDPT,2,24,0.808
TabM+TabPFN-2.5+RandomForest+RealMLP+TabICLv2,2,21,0.833
TabM+TabPFN-2.5+RandomForest+RealMLP+XGBoost,2,25,0.778
TabM+TabPFN-2.5+RandomForest+TabDPT+TabICLv2,2,22,0.8
TabM+TabPFN-2.5+RandomForest+TabDPT+XGBoost,2,24,0.741
TabM+TabPFN-2.5+RandomForest+TabICLv2+XGBoost,2,21,0.76
TabM+TabPFN-2.5+RealMLP+TabDPT+TabICLv2,2,22,0.8
TabM+TabPFN-2.5+RealMLP+TabDPT+XGBoost,2,26,0.75
TabM+TabPFN-2.5+RealMLP+TabICLv2+XGBoost,2,20,0.792
TabM+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,23,0.704
TabM+RandomForest+RealMLP+TabDPT+TabICLv2,1,22,0.8
TabM+RandomForest+RealMLP+TabDPT+XGBoost,1,26,0.69
TabM+RandomForest+RealMLP+TabICLv2+XGBoost,1,22,0.731
TabM+RandomForest+TabDPT+TabICLv2+XGBoost,1,25,0.655
TabM+RealMLP+TabDPT+TabICLv2+XGBoost,1,25,0.655
TabPFNv2+TabPFN-2.5+RandomForest+RealMLP+TabDPT,2,24,0.88
TabPFNv2+TabPFN-2.5+RandomForest+RealMLP+TabICLv2,2,20,0.87
TabPFNv2+TabPFN-2.5+RandomForest+RealMLP+XGBoost,2,23,0.917
TabPFNv2+TabPFN-2.5+RandomForest+TabDPT+TabICLv2,2,22,0.731
TabPFNv2+TabPFN-2.5+RandomForest+TabDPT+XGBoost,2,23,0.769
TabPFNv2+TabPFN-2.5+RandomForest+TabICLv2+XGBoost,2,21,0.76
TabPFNv2+TabPFN-2.5+RealMLP+TabDPT+TabICLv2,2,21,0.76
TabPFNv2+TabPFN-2.5+RealMLP+TabDPT+XGBoost,2,24,0.808
TabPFNv2+TabPFN-2.5+RealMLP+TabICLv2+XGBoost,2,20,0.792
TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,24,0.679
TabPFNv2+RandomForest+RealMLP+TabDPT+TabICLv2,1,24,0.808
TabPFNv2+RandomForest+RealMLP+TabDPT+XGBoost,1,25,0.778
TabPFNv2+RandomForest+RealMLP+TabICLv2+XGBoost,1,22,0.875
TabPFNv2+RandomForest+TabDPT+TabICLv2+XGBoost,1,25,0.714
TabPFNv2+RealMLP+TabDPT+TabICLv2+XGBoost,1,24,0.741
TabPFN-2.5+RandomForest+RealMLP+TabDPT+TabICLv2,1,21,0.76
TabPFN-2.5+RandomForest+RealMLP+TabDPT+XGBoost,1,22,0.8
TabPFN-2.5+RandomForest+RealMLP+TabICLv2+XGBoost,1,20,0.792
TabPFN-2.5+RandomForest+TabDPT+TabICLv2+XGBoost,1,23,0.769
TabPFN-2.5+RealMLP+TabDPT+TabICLv2+XGBoost,1,22,0.731
RandomForest+RealMLP+TabDPT+TabICLv2+XGBoost,0,24,0.741
