dataset,source_paper,task_type,domain,in_core,n_curation_models,n_all_models,joint_pass_5,joint_pass_10,awareness_pass_5,core_pass_5,median_delta_joint,min_delta_joint,joint_accept,core_decision,selected_full,rank,in_registry,exclusion_reason
REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020,AutoMLMultimodal+TextTabBench,REG,HOUSES,False,5,10,5,9,2,2,0.005,0.003,True,reject,True,14.0,True,
REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES,CARTE,REG,FOOD,False,5,10,5,8,2,2,0.06,0.025,True,reject,True,15.0,True,
REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES,AutoMLMultimodal,REG,CONSUMER,False,5,10,5,8,2,2,0.007,0.002,True,reject,True,16.0,True,
BIN_TEXT_SOCIAL_JIGSAW_TOXICITY,-,BIN,SOCIAL,True,5,10,5,8,5,5,0.006,0.003,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_HOUSES_AIRBNB_SEATTLE,TextTabBench,REG,HOUSES,False,5,10,5,7,0,0,0.009,0.003,True,reject,True,17.0,True,
MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY,AutoMLMultimodal,MUL,SOCIAL,False,5,10,5,7,5,5,0.006,0.003,True,accept,True,18.0,True,
MUL_TEXT_PROFESSIONAL_DATA_SCIENTIST_SALARY,-,MUL,PROFESSIONAL,True,5,10,4,9,4,3,0.003,0.0,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE,CARTE,REG,SOCIAL,False,5,10,4,8,0,0,0.026,0.0,True,reject,True,19.0,False,
REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,CARTE,REG,PROFESSIONAL,False,5,10,4,7,2,2,0.073,-0.021,True,reject,True,20.0,False,
REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES,TextTabBench,REG,CONSUMER,False,5,10,4,7,0,0,0.015,-0.006,True,reject,False,,False,ranked below the top 20 (Joint Signal 4/5)
BIN_TEXT_SOCIAL_IMDB_GENRE_PREDICTION,AutoMLMultimodal,BIN,SOCIAL,False,5,10,4,7,1,1,0.012,-0.002,True,reject,False,,True,ranked below the top 20 (Joint Signal 4/5)
MUL_TEXT_SOCIAL_SPOTIFY_GENRES,-,MUL,SOCIAL,True,3,8,3,8,3,3,0.036,0.035,True,accept,False,,False,already in MulTaBench-Core
MUL_TEXT_FOOD_WINE_REVIEW,-,MUL,FOOD,True,3,8,3,8,3,3,0.002,0.001,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES,CARTE,REG,SOCIAL,False,5,10,3,5,2,1,0.004,-0.015,True,reject,False,,False,ranked below the top 20 (Joint Signal 3/5)
REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS,TextTabBench,REG,HOUSES,False,5,10,3,4,4,2,0.003,-0.006,True,reject,False,,False,ranked below the top 20 (Joint Signal 3/5)
MUL_TEXT_HOUSES_MELBOURNE_AIRBNB,AutoMLMultimodal,MUL,HOUSES,False,5,10,3,4,3,1,0.002,-0.028,True,reject,False,,True,ranked below the top 20 (Joint Signal 3/5)
REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE,AutoMLMultimodal,REG,CONSUMER,False,5,10,2,5,4,2,-0.001,-0.007,False,reject,False,,False,fails Joint Signal (2/5 models)
REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,CARTE,REG,TRANSPORTATION,False,5,10,2,5,3,0,-1.933,-14962.564,False,reject,False,,False,fails Joint Signal (2/5 models)
MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON,AutoMLMultimodal,MUL,SOCIAL,False,5,10,2,2,5,2,-0.012,-0.034,False,reject,False,,False,fails Joint Signal (2/5 models)
REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,CARTE+Vectorizing,REG,PROFESSIONAL,False,5,10,1,4,1,0,-0.005,-0.139,False,reject,False,,False,fails Joint Signal (1/5 models)
REG_TEXT_CONSUMER_BIKE_PRICE_BIKEWALE,CARTE+Vectorizing,REG,CONSUMER,False,5,10,1,4,5,1,-0.046,-0.084,False,reject,False,,False,fails Joint Signal (1/5 models)
REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO,CARTE,REG,CONSUMER,False,5,10,1,2,1,0,-0.005,-0.101,False,reject,False,,False,fails Joint Signal (1/5 models)
REG_TEXT_FOOD_BEER_RATINGS,CARTE+TextTabBench,REG,FOOD,False,5,10,1,1,3,0,-0.003,-0.004,False,reject,False,,False,fails Joint Signal (1/5 models)
MUL_TEXT_FOOD_YELP_REVIEWS,CARTE,MUL,FOOD,False,5,10,0,3,5,0,0.0,-0.001,False,reject,False,,False,fails Joint Signal (0/5 models)
REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY,CARTE,REG,SOCIAL,False,5,10,0,0,0,0,0.0,-0.001,False,reject,False,,False,fails Joint Signal (0/5 models)
REG_TEXT_FOOD_COFFEE_REVIEW,CARTE,REG,FOOD,False,5,10,0,0,2,0,-0.001,-0.011,False,reject,False,,False,fails Joint Signal (0/5 models)
REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,CARTE,REG,SPORTS,False,5,10,0,0,3,0,-0.008,-0.024,False,reject,False,,False,fails Joint Signal (0/5 models)
