subset_1,size_1,subset_2,size_2,jaccard
LightGBM+CatBoost,2,CatBoost+TabM+TabPFN-2.5,3,0.741
LightGBM+CatBoost,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.76
LightGBM+CatBoost,2,TabM+TabPFNv2+TabPFN-2.5,3,0.667
LightGBM+CatBoost,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.955
LightGBM+CatBoost,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.909
LightGBM+CatBoost,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.826
LightGBM+CatBoost,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.783
LightGBM+CatBoost,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.75
LightGBM+CatBoost,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.875
LightGBM+TabM,2,LightGBM+TabPFNv2,2,0.6
LightGBM+TabM,2,LightGBM+TabPFN-2.5,2,0.5
LightGBM+TabM,2,CatBoost+TabM,2,0.773
LightGBM+TabM,2,CatBoost+TabPFNv2,2,0.625
LightGBM+TabM,2,CatBoost+TabPFN-2.5,2,0.478
LightGBM+TabM,2,TabM+TabPFNv2,2,0.682
LightGBM+TabM,2,TabM+TabPFN-2.5,2,0.55
LightGBM+TabM,2,TabPFNv2+TabPFN-2.5,2,0.44
LightGBM+TabM,2,LightGBM+CatBoost+TabM,3,0.704
LightGBM+TabM,2,LightGBM+CatBoost+TabPFNv2,3,0.63
LightGBM+TabM,2,LightGBM+CatBoost+TabPFN-2.5,3,0.68
LightGBM+TabM,2,LightGBM+TabM+TabPFNv2,3,0.679
LightGBM+TabM,2,LightGBM+TabM+TabPFN-2.5,3,0.826
LightGBM+TabM,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.536
LightGBM+TabM,2,CatBoost+TabM+TabPFNv2,3,0.567
LightGBM+TabM,2,CatBoost+TabM+TabPFN-2.5,3,0.63
LightGBM+TabM,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.577
LightGBM+TabM,2,TabM+TabPFNv2+TabPFN-2.5,3,0.556
LightGBM+TabM,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.739
LightGBM+TabM,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.773
LightGBM+TabM,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.625
LightGBM+TabM,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.652
LightGBM+TabM,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.625
LightGBM+TabM,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.68
LightGBM+TabPFNv2,2,LightGBM+TabPFN-2.5,2,0.667
LightGBM+TabPFNv2,2,CatBoost+TabM,2,0.577
LightGBM+TabPFNv2,2,CatBoost+TabPFNv2,2,0.864
LightGBM+TabPFNv2,2,CatBoost+TabPFN-2.5,2,0.636
LightGBM+TabPFNv2,2,TabM+TabPFNv2,2,0.625
LightGBM+TabPFNv2,2,TabM+TabPFN-2.5,2,0.5
LightGBM+TabPFNv2,2,TabPFNv2+TabPFN-2.5,2,0.583
LightGBM+TabPFNv2,2,LightGBM+CatBoost+TabM,3,0.655
LightGBM+TabPFNv2,2,LightGBM+CatBoost+TabPFNv2,3,0.84
LightGBM+TabPFNv2,2,LightGBM+CatBoost+TabPFN-2.5,3,0.76
LightGBM+TabPFNv2,2,LightGBM+TabM+TabPFNv2,3,0.75
LightGBM+TabPFNv2,2,LightGBM+TabM+TabPFN-2.5,3,0.692
LightGBM+TabPFNv2,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.875
LightGBM+TabPFNv2,2,CatBoost+TabM+TabPFNv2,3,0.633
LightGBM+TabPFNv2,2,CatBoost+TabM+TabPFN-2.5,3,0.643
LightGBM+TabPFNv2,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.792
LightGBM+TabPFNv2,2,TabM+TabPFNv2+TabPFN-2.5,3,0.692
LightGBM+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.826
LightGBM+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.783
LightGBM+TabPFNv2,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.864
LightGBM+TabPFNv2,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.818
LightGBM+TabPFNv2,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.783
LightGBM+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.76
LightGBM+TabPFN-2.5,2,CatBoost+TabM,2,0.478
LightGBM+TabPFN-2.5,2,CatBoost+TabPFNv2,2,0.7
LightGBM+TabPFN-2.5,2,CatBoost+TabPFN-2.5,2,0.933
LightGBM+TabPFN-2.5,2,TabM+TabPFNv2,2,0.524
LightGBM+TabPFN-2.5,2,TabM+TabPFN-2.5,2,0.733
LightGBM+TabPFN-2.5,2,TabPFNv2+TabPFN-2.5,2,0.824
LightGBM+TabPFN-2.5,2,LightGBM+CatBoost+TabM,3,0.519
LightGBM+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2,3,0.56
LightGBM+TabPFN-2.5,2,LightGBM+CatBoost+TabPFN-2.5,3,0.609
LightGBM+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2,3,0.5
LightGBM+TabPFN-2.5,2,LightGBM+TabM+TabPFN-2.5,3,0.609
LightGBM+TabPFN-2.5,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.583
LightGBM+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2,3,0.5
LightGBM+TabPFN-2.5,2,CatBoost+TabM+TabPFN-2.5,3,0.56
LightGBM+TabPFN-2.5,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.636
LightGBM+TabPFN-2.5,2,TabM+TabPFNv2+TabPFN-2.5,3,0.609
LightGBM+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.667
LightGBM+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.7
LightGBM+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.7
LightGBM+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.737
LightGBM+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.7
LightGBM+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.609
CatBoost+TabM,2,CatBoost+TabPFNv2,2,0.6
CatBoost+TabM,2,CatBoost+TabPFN-2.5,2,0.458
CatBoost+TabM,2,TabM+TabPFNv2,2,0.652
CatBoost+TabM,2,TabM+TabPFN-2.5,2,0.524
CatBoost+TabM,2,TabPFNv2+TabPFN-2.5,2,0.423
CatBoost+TabM,2,LightGBM+CatBoost+TabM,3,0.741
CatBoost+TabM,2,LightGBM+CatBoost+TabPFNv2,3,0.607
CatBoost+TabM,2,LightGBM+CatBoost+TabPFN-2.5,3,0.654
CatBoost+TabM,2,LightGBM+TabM+TabPFNv2,3,0.548
CatBoost+TabM,2,LightGBM+TabM+TabPFN-2.5,3,0.654
CatBoost+TabM,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.517
CatBoost+TabM,2,CatBoost+TabM+TabPFNv2,3,0.714
CatBoost+TabM,2,CatBoost+TabM+TabPFN-2.5,3,0.8
CatBoost+TabM,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.556
CatBoost+TabM,2,TabM+TabPFNv2+TabPFN-2.5,3,0.536
CatBoost+TabM,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.708
CatBoost+TabM,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.739
CatBoost+TabM,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.6
CatBoost+TabM,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.625
CatBoost+TabM,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.6
CatBoost+TabM,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.654
CatBoost+TabPFNv2,2,CatBoost+TabPFN-2.5,2,0.75
CatBoost+TabPFNv2,2,TabM+TabPFNv2,2,0.652
CatBoost+TabPFNv2,2,TabM+TabPFN-2.5,2,0.524
CatBoost+TabPFNv2,2,TabPFNv2+TabPFN-2.5,2,0.682
CatBoost+TabPFNv2,2,LightGBM+CatBoost+TabM,3,0.679
CatBoost+TabPFNv2,2,LightGBM+CatBoost+TabPFNv2,3,0.8
CatBoost+TabPFNv2,2,LightGBM+CatBoost+TabPFN-2.5,3,0.87
CatBoost+TabPFNv2,2,LightGBM+TabM+TabPFNv2,3,0.655
CatBoost+TabPFNv2,2,LightGBM+TabM+TabPFN-2.5,3,0.72
CatBoost+TabPFNv2,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.833
CatBoost+TabPFNv2,2,CatBoost+TabM+TabPFNv2,3,0.714
CatBoost+TabPFNv2,2,CatBoost+TabM+TabPFN-2.5,3,0.731
CatBoost+TabPFNv2,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.909
CatBoost+TabPFNv2,2,TabM+TabPFNv2+TabPFN-2.5,3,0.792
CatBoost+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.864
CatBoost+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.818
CatBoost+TabPFNv2,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,1.0
CatBoost+TabPFNv2,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.857
CatBoost+TabPFNv2,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.905
CatBoost+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.87
CatBoost+TabPFN-2.5,2,TabM+TabPFNv2,2,0.5
CatBoost+TabPFN-2.5,2,TabM+TabPFN-2.5,2,0.688
CatBoost+TabPFN-2.5,2,TabPFNv2+TabPFN-2.5,2,0.882
CatBoost+TabPFN-2.5,2,LightGBM+CatBoost+TabM,3,0.5
CatBoost+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2,3,0.6
CatBoost+TabPFN-2.5,2,LightGBM+CatBoost+TabPFN-2.5,3,0.652
CatBoost+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2,3,0.483
CatBoost+TabPFN-2.5,2,LightGBM+TabM+TabPFN-2.5,3,0.583
CatBoost+TabPFN-2.5,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.625
CatBoost+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2,3,0.536
CatBoost+TabPFN-2.5,2,CatBoost+TabM+TabPFN-2.5,3,0.6
CatBoost+TabPFN-2.5,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.682
CatBoost+TabPFN-2.5,2,TabM+TabPFNv2+TabPFN-2.5,3,0.652
CatBoost+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.636
CatBoost+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.667
CatBoost+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.75
CatBoost+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.7
CatBoost+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.75
CatBoost+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.652
TabM+TabPFNv2,2,TabM+TabPFN-2.5,2,0.667
TabM+TabPFNv2,2,TabPFNv2+TabPFN-2.5,2,0.522
TabM+TabPFNv2,2,LightGBM+CatBoost+TabM,3,0.5
TabM+TabPFNv2,2,LightGBM+CatBoost+TabPFNv2,3,0.536
TabM+TabPFNv2,2,LightGBM+CatBoost+TabPFN-2.5,3,0.577
TabM+TabPFNv2,2,LightGBM+TabM+TabPFNv2,3,0.643
TabM+TabPFNv2,2,LightGBM+TabM+TabPFN-2.5,3,0.64
TabM+TabPFNv2,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.615
TabM+TabPFNv2,2,CatBoost+TabM+TabPFNv2,3,0.643
TabM+TabPFNv2,2,CatBoost+TabM+TabPFN-2.5,3,0.593
TabM+TabPFNv2,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.667
TabM+TabPFNv2,2,TabM+TabPFNv2+TabPFN-2.5,3,0.783
TabM+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.625
TabM+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.652
TabM+TabPFNv2,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.652
TabM+TabPFNv2,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.762
TabM+TabPFNv2,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.727
TabM+TabPFNv2,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.64
TabM+TabPFN-2.5,2,TabPFNv2+TabPFN-2.5,2,0.706
TabM+TabPFN-2.5,2,LightGBM+CatBoost+TabM,3,0.393
TabM+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2,3,0.423
TabM+TabPFN-2.5,2,LightGBM+CatBoost+TabPFN-2.5,3,0.458
TabM+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2,3,0.429
TabM+TabPFN-2.5,2,LightGBM+TabM+TabPFN-2.5,3,0.522
TabM+TabPFN-2.5,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.5
TabM+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2,3,0.429
TabM+TabPFN-2.5,2,CatBoost+TabM+TabPFN-2.5,3,0.48
TabM+TabPFN-2.5,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.545
TabM+TabPFN-2.5,2,TabM+TabPFNv2+TabPFN-2.5,3,0.522
TabM+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.5
TabM+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.524
TabM+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.524
TabM+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.632
TabM+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.6
TabM+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.522
TabPFNv2+TabPFN-2.5,2,LightGBM+CatBoost+TabM,3,0.467
TabPFNv2+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2,3,0.556
TabPFNv2+TabPFN-2.5,2,LightGBM+CatBoost+TabPFN-2.5,3,0.6
TabPFNv2+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2,3,0.5
TabPFNv2+TabPFN-2.5,2,LightGBM+TabM+TabPFN-2.5,3,0.6
TabPFNv2+TabPFN-2.5,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.708
TabPFNv2+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2,3,0.552
TabPFNv2+TabPFN-2.5,2,CatBoost+TabM+TabPFN-2.5,3,0.615
TabPFNv2+TabPFN-2.5,2,CatBoost+TabPFNv2+TabPFN-2.5,3,0.773
TabPFNv2+TabPFN-2.5,2,TabM+TabPFNv2+TabPFN-2.5,3,0.739
TabPFNv2+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2,4,0.583
TabPFNv2+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.609
TabPFNv2+TabPFN-2.5,2,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.682
TabPFNv2+TabPFN-2.5,2,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.714
TabPFNv2+TabPFN-2.5,2,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.762
TabPFNv2+TabPFN-2.5,2,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.667
LightGBM+CatBoost+TabM,3,LightGBM+CatBoost+TabPFNv2,3,0.733
LightGBM+CatBoost+TabM,3,LightGBM+CatBoost+TabPFN-2.5,3,0.786
LightGBM+CatBoost+TabM,3,LightGBM+TabM+TabPFNv2,3,0.719
LightGBM+CatBoost+TabM,3,LightGBM+TabM+TabPFN-2.5,3,0.786
LightGBM+CatBoost+TabM,3,LightGBM+TabPFNv2+TabPFN-2.5,3,0.594
LightGBM+CatBoost+TabM,3,CatBoost+TabM+TabPFNv2,3,0.774
LightGBM+CatBoost+TabM,3,CatBoost+TabM+TabPFN-2.5,3,0.793
LightGBM+CatBoost+TabM,3,CatBoost+TabPFNv2+TabPFN-2.5,3,0.633
LightGBM+CatBoost+TabM,3,TabM+TabPFNv2+TabPFN-2.5,3,0.562
LightGBM+CatBoost+TabM,3,LightGBM+CatBoost+TabM+TabPFNv2,4,0.778
