"Name","Created","Runtime","State","test_score","dataset","model","e5_model_name","fold","multimodal_state"
"cat_REG_IMAGE_FLIPKART_RATIO_non_4","2026-09-06T17:27:05.000Z","189","finished","0.7014783172092711","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","4","non"
"cat_REG_IMAGE_FLIPKART_RATIO_all_4","2026-09-06T17:21:46.000Z","312","finished","0.701727696895698","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","4","all"
"light_REG_IMAGE_FLIPKART_RATIO_img_4","2026-09-06T17:19:30.000Z","132","finished","0.3694664164651791","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","4","img"
"light_REG_IMAGE_FLIPKART_RATIO_non_4","2026-09-06T17:16:17.000Z","187","finished","0.6431228770343353","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","4","non"
"light_REG_IMAGE_FLIPKART_RATIO_all_4","2026-09-06T17:11:09.000Z","304","finished","0.6585142073475048","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","4","all"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_img_3","2026-09-06T17:08:31.000Z","151","finished","0.5040634933571786","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","3","img"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_non_3","2026-09-06T17:04:47.000Z","218","finished","0.7699482742242496","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","3","non"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_all_3","2026-09-06T16:58:46.000Z","356","finished","0.7900565540228184","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","3","all"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_img_3","2026-09-06T16:56:03.000Z","159","finished","0.4554842874286336","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","3","img"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_non_3","2026-09-06T16:52:02.000Z","236","finished","0.733585318581351","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","3","non"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_all_3","2026-09-06T16:45:35.000Z","380","finished","0.7487337361315486","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","3","all"
"tabm_REG_IMAGE_FLIPKART_RATIO_img_3","2026-09-06T16:42:47.000Z","161","finished","0.47784699940828823","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","3","img"
"tabm_REG_IMAGE_FLIPKART_RATIO_non_3","2026-09-06T16:39:08.000Z","213","finished","0.7289066348328754","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","3","non"
"tabm_REG_IMAGE_FLIPKART_RATIO_all_3","2026-09-06T16:33:29.000Z","336","finished","0.7441779869175651","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","3","all"
"cat_REG_IMAGE_FLIPKART_RATIO_img_3","2026-09-06T16:31:07.000Z","135","finished","0.45597805920253154","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","3","img"
"cat_REG_IMAGE_FLIPKART_RATIO_non_3","2026-09-06T16:27:53.000Z","191","finished","0.724934695870078","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","3","non"
"cat_REG_IMAGE_FLIPKART_RATIO_all_3","2026-09-06T16:22:35.000Z","312","finished","0.7283081399957545","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","3","all"
"light_REG_IMAGE_FLIPKART_RATIO_img_3","2026-09-06T16:20:19.000Z","132","finished","0.4002284419699521","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","3","img"
"light_REG_IMAGE_FLIPKART_RATIO_non_3","2026-09-06T16:17:06.000Z","186","finished","0.6750266116202772","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","3","non"
"light_REG_IMAGE_FLIPKART_RATIO_all_3","2026-09-06T16:11:58.000Z","305","finished","0.6838785800584953","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","3","all"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_img_2","2026-09-06T16:09:21.000Z","150","finished","0.5266300499971691","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2","img"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_non_2","2026-09-06T16:05:37.000Z","219","finished","0.7727258549855269","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2","non"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_all_2","2026-09-06T15:59:37.000Z","355","finished","0.7917719733474321","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2","all"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_img_2","2026-09-06T15:56:55.000Z","158","finished","0.4660999616591124","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","2","img"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_non_2","2026-09-06T15:52:55.000Z","234","finished","0.7375459707412308","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","2","non"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_all_2","2026-09-06T15:46:23.000Z","384","finished","0.7467080619472954","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","2","all"
"tabm_REG_IMAGE_FLIPKART_RATIO_img_2","2026-09-06T15:43:41.000Z","155","finished","0.4705566880407004","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","2","img"
"tabm_REG_IMAGE_FLIPKART_RATIO_non_2","2026-09-06T15:39:56.000Z","220","finished","0.7255595011514128","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","2","non"
"tabm_REG_IMAGE_FLIPKART_RATIO_all_2","2026-09-06T15:34:07.000Z","338","finished","0.7360172195043528","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","2","all"
"cat_REG_IMAGE_FLIPKART_RATIO_img_2","2026-09-06T15:31:46.000Z","136","finished","0.4493039927557661","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","2","img"
"cat_REG_IMAGE_FLIPKART_RATIO_non_2","2026-09-06T15:28:27.000Z","192","finished","0.7156400067594488","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","2","non"
"cat_REG_IMAGE_FLIPKART_RATIO_all_2","2026-09-06T15:23:09.000Z","313","finished","0.7206804175248757","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","2","all"
"light_REG_IMAGE_FLIPKART_RATIO_img_2","2026-09-06T15:20:53.000Z","132","finished","0.38582088127490377","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","2","img"
"light_REG_IMAGE_FLIPKART_RATIO_non_2","2026-09-06T15:17:40.000Z","185","finished","0.6569297702238097","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","2","non"
"light_REG_IMAGE_FLIPKART_RATIO_all_2","2026-09-06T15:12:27.000Z","307","finished","0.6652344186315005","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","2","all"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_img_1","2026-09-06T15:09:50.000Z","152","finished","0.4985325763978886","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1","img"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_non_1","2026-09-06T15:06:06.000Z","218","finished","0.741366960202082","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1","non"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_all_1","2026-09-06T15:00:06.000Z","355","finished","0.7562738805002563","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1","all"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_img_1","2026-09-06T14:57:24.000Z","158","finished","0.4556188708892765","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","1","img"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_non_1","2026-09-06T14:53:19.000Z","238","finished","0.7170937208872912","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","1","non"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_all_1","2026-09-06T14:46:51.000Z","384","finished","0.7254676163937477","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","1","all"
"tabm_REG_IMAGE_FLIPKART_RATIO_img_1","2026-09-06T14:44:20.000Z","146","finished","0.4670824490979773","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","1","img"
"tabm_REG_IMAGE_FLIPKART_RATIO_non_1","2026-09-06T14:40:41.000Z","215","finished","0.7000316716208623","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","1","non"
"tabm_REG_IMAGE_FLIPKART_RATIO_all_1","2026-09-06T14:35:01.000Z","336","finished","0.7125580480848308","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","1","all"
"cat_REG_IMAGE_FLIPKART_RATIO_img_1","2026-09-06T14:32:40.000Z","135","finished","0.4498412132661972","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","1","img"
"cat_REG_IMAGE_FLIPKART_RATIO_non_1","2026-09-06T14:29:21.000Z","192","finished","0.7054124908326935","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","1","non"
"cat_REG_IMAGE_FLIPKART_RATIO_all_1","2026-09-06T14:24:02.000Z","311","finished","0.7080314543720473","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","1","all"
"light_REG_IMAGE_FLIPKART_RATIO_img_1","2026-09-06T14:21:46.000Z","132","finished","0.38133464876312806","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","1","img"
"light_REG_IMAGE_FLIPKART_RATIO_non_1","2026-09-06T14:18:33.000Z","188","finished","0.6510005134303325","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","1","non"
"light_REG_IMAGE_FLIPKART_RATIO_all_1","2026-09-06T14:13:20.000Z","308","finished","0.6499433183412726","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","1","all"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_img_0","2026-09-06T14:10:43.000Z","150","finished","0.4998303588314202","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0","img"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_non_0","2026-09-06T14:06:57.000Z","218","finished","0.7409846450351565","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0","non"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_all_0","2026-09-06T14:00:55.000Z","357","finished","0.7624493313927594","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0","all"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_img_0","2026-09-06T13:58:08.000Z","159","finished","0.4343759062593462","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","0","img"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_non_0","2026-09-06T13:54:02.000Z","238","finished","0.711952436936798","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","0","non"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_img_4","2026-09-06T13:48:12.000Z","86","finished","0.7038147388573719","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","4","img"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_all_0","2026-09-06T13:47:30.000Z","388","finished","0.7268190646521419","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","0","all"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_non_4","2026-09-06T13:46:01.000Z","126","finished","0.8916482395729897","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","4","non"
"tabm_REG_IMAGE_FLIPKART_RATIO_img_0","2026-09-06T13:44:48.000Z","156","finished","0.466601127663261","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","0","img"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_all_4","2026-09-06T13:42:32.000Z","204","finished","0.9338441467320416","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","4","all"
"tabm_REG_IMAGE_FLIPKART_RATIO_non_0","2026-09-06T13:41:14.000Z","212","finished","0.7064474328504273","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","0","non"
"tabpfnv2_REG_IMAGE_DVM_CAR_img_4","2026-09-06T13:40:53.000Z","96","finished","0.6347965158918338","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","4","img"
"tabpfnv2_REG_IMAGE_DVM_CAR_non_4","2026-09-06T13:38:16.000Z","153","finished","0.9049089160732638","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","4","non"
"tabm_REG_IMAGE_FLIPKART_RATIO_all_0","2026-09-06T13:35:25.000Z","344","finished","0.7222753191629143","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","0","all"
"tabpfnv2_REG_IMAGE_DVM_CAR_all_4","2026-09-06T13:34:26.000Z","227","finished","0.9099617069378424","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","4","all"
"cat_REG_IMAGE_FLIPKART_RATIO_img_0","2026-09-06T13:32:59.000Z","143","finished","0.4337481237832329","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","0","img"
"tabm_REG_IMAGE_DVM_CAR_img_4","2026-09-06T13:32:52.000Z","88","finished","0.5920488535803351","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","4","img"
"tabm_REG_IMAGE_DVM_CAR_non_4","2026-09-06T13:30:51.000Z","115","finished","0.9067615651101936","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","4","non"
"cat_REG_IMAGE_FLIPKART_RATIO_non_0","2026-09-06T13:29:40.000Z","192","finished","0.6960486442183097","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","0","non"
"tabm_REG_IMAGE_DVM_CAR_all_4","2026-09-06T13:27:49.000Z","175","finished","0.8913755178588847","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","4","all"
"cat_REG_IMAGE_DVM_CAR_img_4","2026-09-06T13:26:30.000Z","73","finished","0.5004345983711049","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","4","img"
"cat_REG_IMAGE_DVM_CAR_non_4","2026-09-06T13:24:29.000Z","115","finished","0.567813276533641","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","4","non"
"cat_REG_IMAGE_FLIPKART_RATIO_all_0","2026-09-06T13:24:11.000Z","323","finished","0.6987572194670227","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","0","all"
"light_REG_IMAGE_FLIPKART_RATIO_img_0","2026-09-06T13:21:45.000Z","140","finished","0.372867044605992","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","0","img"
"cat_REG_IMAGE_DVM_CAR_all_4","2026-09-06T13:21:32.000Z","174","finished","0.8493312152272183","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","4","all"
"light_REG_IMAGE_DVM_CAR_img_4","2026-09-06T13:20:18.000Z","69","finished","0.42827787185775024","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","4","img"
"light_REG_IMAGE_FLIPKART_RATIO_non_0","2026-09-06T13:18:31.000Z","190","finished","0.6354795809367146","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","0","non"
"light_REG_IMAGE_DVM_CAR_non_4","2026-09-06T13:18:29.000Z","106","finished","0.7308449612694325","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","4","non"
"light_REG_IMAGE_DVM_CAR_all_4","2026-09-06T13:15:41.000Z","163","finished","0.7301406430267283","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","4","all"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_img_3","2026-09-06T13:14:12.000Z","84","finished","0.08825373133025904","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","3","img"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_non_3","2026-09-06T13:12:04.000Z","123","finished","0.1963034866408946","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","3","non"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_all_3","2026-09-06T13:08:45.000Z","193","finished","0.1875238449052461","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","3","all"
"light_REG_IMAGE_FLIPKART_RATIO_all_0","2026-09-06T13:08:25.000Z","599","finished","0.6459195270652559","REG_IMAGE_FLIPKART_RATIO","LightGBM 💡","intfloat/e5-small-v2","0","all"
"tabpfnv2_REG_IMAGE_DVM_CAR_img_3","2026-09-06T13:07:06.000Z","95","finished","0.07755076818813156","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","3","img"
"tabpfnv2_REG_IMAGE_DVM_CAR_non_3","2026-09-06T13:04:24.000Z","155","finished","0.18753108955027087","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","3","non"
"tabpfnv2_REG_IMAGE_DVM_CAR_all_3","2026-09-06T13:00:13.000Z","243","finished","0.20178250019852684","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","3","all"
"tabm_REG_IMAGE_DVM_CAR_img_3","2026-09-06T12:58:38.000Z","87","finished","0.07996273442777324","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","3","img"
"tabm_REG_IMAGE_DVM_CAR_non_3","2026-09-06T12:56:28.000Z","128","finished","0.21229542605762297","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","3","non"
"tabm_REG_IMAGE_DVM_CAR_all_3","2026-09-06T12:53:25.000Z","178","finished","0.2206720865070891","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","3","all"
"cat_REG_IMAGE_DVM_CAR_img_3","2026-09-06T12:52:06.000Z","75","finished","0.07198878068612624","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","3","img"
"cat_REG_IMAGE_DVM_CAR_non_3","2026-09-06T12:49:40.000Z","144","finished","0.20717152741101277","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","3","non"
"cat_REG_IMAGE_DVM_CAR_all_3","2026-09-06T12:46:11.000Z","205","finished","0.20190912214649215","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","3","all"
"light_REG_IMAGE_DVM_CAR_img_3","2026-09-06T12:44:57.000Z","70","finished","0.06365374360412235","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","3","img"
"light_REG_IMAGE_DVM_CAR_non_3","2026-09-06T12:43:07.000Z","105","finished","0.1835999701331392","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","3","non"
"light_REG_IMAGE_DVM_CAR_all_3","2026-09-06T12:40:15.000Z","164","finished","0.1835857347020801","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","3","all"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_img_2","2026-09-06T12:38:41.000Z","88","finished","0.6655829271032708","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2","img"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_non_2","2026-09-06T12:36:30.000Z","128","finished","0.8482934513704754","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2","non"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_all_2","2026-09-06T12:32:46.000Z","218","finished","0.8433193952922076","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2","all"
"tabpfnv2_REG_IMAGE_DVM_CAR_img_2","2026-09-06T12:31:01.000Z","101","finished","0.6137764780155754","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","2","img"
"tabpfnv2_REG_IMAGE_DVM_CAR_non_2","2026-09-06T12:28:30.000Z","146","finished","0.8385903061765434","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","2","non"
"tabpfnv2_REG_IMAGE_DVM_CAR_all_2","2026-09-06T12:24:04.000Z","262","finished","0.837339144879828","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","2","all"
"tabm_REG_IMAGE_DVM_CAR_img_2","2026-09-06T12:22:09.000Z","105","finished","0.28041746477996965","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","2","img"
"tabm_REG_IMAGE_DVM_CAR_non_2","2026-09-06T12:19:53.000Z","130","finished","0.7936004356359001","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","2","non"
"tabm_REG_IMAGE_DVM_CAR_all_2","2026-09-06T12:16:55.000Z","173","finished","0.8000550130175257","REG_IMAGE_DVM_CAR","TabM Ⓜ️","intfloat/e5-small-v2","2","all"
"cat_REG_IMAGE_DVM_CAR_img_2","2026-09-06T12:15:37.000Z","71","finished","0.25282446478316556","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","2","img"
"cat_REG_IMAGE_DVM_CAR_non_2","2026-09-06T12:13:37.000Z","114","finished","0.7959643035205551","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","2","non"
"cat_REG_IMAGE_DVM_CAR_all_2","2026-09-06T12:10:38.000Z","174","finished","0.7272727013278546","REG_IMAGE_DVM_CAR","CatBoost 😸","intfloat/e5-small-v2","2","all"
"light_REG_IMAGE_DVM_CAR_img_2","2026-09-06T12:09:20.000Z","72","finished","-0.11477060456225165","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","2","img"
"light_REG_IMAGE_DVM_CAR_non_2","2026-09-06T12:07:25.000Z","108","finished","0.4621130329854192","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","2","non"
"light_REG_IMAGE_DVM_CAR_all_2","2026-09-06T12:04:38.000Z","163","finished","0.2920253491253829","REG_IMAGE_DVM_CAR","LightGBM 💡","intfloat/e5-small-v2","2","all"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_img_1","2026-09-06T12:03:03.000Z","87","finished","0.6862424055133005","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1","img"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_non_1","2026-09-06T12:00:47.000Z","129","finished","0.8502004948365651","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1","non"
"tabpfnv2p5_REG_IMAGE_DVM_CAR_all_1","2026-09-06T11:57:03.000Z","222","finished","0.8580570107356564","REG_IMAGE_DVM_CAR","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1","all"
"tabpfnv2_REG_IMAGE_DVM_CAR_img_1","2026-09-06T11:55:02.000Z","112","finished","0.607718081063956","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","1","img"
"tabpfnv2_REG_IMAGE_DVM_CAR_non_1","2026-09-06T11:52:21.000Z","154","finished","0.9019854326529946","REG_IMAGE_DVM_CAR","TabPFN-v2 🤯","intfloat/e5-small-v2","1","non"
